waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=1.35e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=1.35e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=2.25e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=2.25e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=3.15e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=3.15e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.5e-08) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.5e-08) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.05e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.05e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.95e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=4.95e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=5.85e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=5.85e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=6.75e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y (OP("/PM0" "gm") * OP("/PM0" "rout"))) (length=6.75e-07) Y
2.280386576995854,6.402865305129161,2.260828987894946,6.4022714195984,2.274253829919334,6.280142711263442,2.703673395441432,6.095615560089234,2.285970433329043,6.031653482636179,2.291724772359191,5.719185813119148,2.315618025993905,5.683180619526571,2.333545570819563,5.688981453162021
2.908808884955458,8.993733204663071,2.843773950511495,9.457699795236188,2.848491438758771,9.836164236471847,3.681076031519165,8.389892301849283,2.862817283335766,10.03202369375639,2.87657110304085,10.05997996070629,2.904661391504973,10.34140316570103,2.924052029722602,10.60940508590094
3.882241157953185,12.58611719019132,3.700479643493723,13.59236204309633,3.662783232091482,14.63313300200623,5.399790570528455,11.90047413103095,3.655583797011432,15.52236540887878,3.657219262371021,16.23071350956087,3.675415993525128,17.07847225820022,3.685978051096476,17.84166719692779
5.580949967499671,17.80266891915112,5.130011278339033,19.33059590770892,4.981919118045667,21.02897303751347,8.564248676568004,17.18889200521248,4.91098745080506,22.60443701374289,4.869554658053773,24.00522247136501,4.854362846423994,25.31764141002631,4.837852587436334,26.48074433959873
8.952038739821042,25.60820978700031,7.960997555381901,27.89383742303476,7.567702279813326,30.28563174570428,13.26275718549551,22.87670140459426,7.344938513923561,32.47213547883769,7.195847469163896,34.42208263206383,7.094419836037468,35.90592512984529,7.008646877625374,37.19434843765328
15.5382509143865,34.82142540426241,14.25244204634464,39.7458754540135,13.52606860464255,43.56491616303119,16.88998561255069,25.31786440368213,13.03572109860969,46.686874415031,12.67069511012088,49.30741186548782,12.37556267733253,50.81055042315737,12.12785276580671,52.07300991704205
23.57226069969957,39.31197883612209,23.86208466177561,45.98782418916389,23.61705727880608,51.10135633595301,20.56267610080972,28.57305157265931,23.29609600585616,55.2158430378204,22.97976704051835,58.62270546531034,22.67202779257971,60.40091339327573,22.38656611192198,61.90483509615117
30.09872240329977,44.47985864675245,30.42832631521967,48.47172276956266,30.32786044982572,51.66865236531117,26.46308577357439,35.23819892915324,30.16907305507106,54.28974216661262,30.01307038038854,56.48170293170425,29.92624093644998,57.36471461150948,29.84000242364499,58.14470780858835
33.61734136240042,48.67584856608056,33.93995988305119,52.52678294488093,33.98604965591778,55.76327293908061,30.41829929086073,39.71490912089034,33.96288175931141,58.38343834947302,33.91751681655179,60.52089492093953,33.95504113708289,61.30828883093423,33.97315848747101,61.97828842454396
34.87495051409599,50.33406888583312,35.22480818681078,54.31150032765409,35.35812209067227,57.75222944830241,31.94762650136802,41.4825993671182,35.42253548178508,60.56998370892202,35.45710498224835,62.88686188665346,35.56753821514491,63.79765466104519,35.65065796904182,64.57869766300458
35.22299134250154,50.80845126295655,35.61459926827127,54.88004151272437,35.78181424351434,58.40398288603522,32.39942556689497,42.01870757386547,35.87365400352201,61.29294306137334,35.93121787671421,63.67152951299472,36.05665730346802,64.6141569358733,36.15314300854256,65.42395126892542
