waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.8e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.8e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.35e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=1.35e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.7e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.7e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.25e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=2.25e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.6e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.6e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.15e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=3.15e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.5e-08) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.05e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.05e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.95e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=4.95e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.4e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.4e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.85e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=5.85e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.3e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.3e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.75e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=6.75e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=7.2e-07) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=7.2e-07) Y,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=9e-08) X,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / (6.28 * OP("/NM0" "cgg")))) (length=9e-08) Y
33.24178132671764,107341.9173320585,33.05990737563553,102009.7674244925,33.41288276523602,110560.1770699999,33.34647403237983,110095.3387183468,33.48926301749141,107023.2240507229,33.45770257812128,109354.9623272916,33.52914677793352,100517.3228415095,29.75126234407765,141666.0351895583,33.51216532004109,103978.6023862824,33.54193101072799,96844.17285248425,33.58065084795187,92554.28635520257,33.61605229130467,88364.33845535046,33.64578457856732,84370.5632196409,33.67101597450323,80580.27453224704,33.69262075991696,76993.63193806827,32.52334291510397,95363.47549936078
33.1521319202054,572613.5513989499,32.98727384577224,539715.6858550571,33.28997962113623,591160.6208022491,33.23984654206726,588861.3592930646,33.33656974869331,569405.442069047,33.31943183385004,583546.2001080812,33.35027982447407,530872.4025678571,29.70694466719555,630817.6164169745,33.34596065374716,551257.2756777962,33.35118098994382,509452.7428929479,33.37848038738844,485842.7329245058,33.40308351739494,462865.2540711254,33.42261438537862,440948.8318256209,33.43819017439019,420159.1473943883,33.45063961430895,400511.0619282031,32.46729646987557,490373.999893688
32.9308053677206,2970870.015153193,32.81319625720813,2804146.459656571,32.97785732922401,3011852.831761412,32.97120089217487,3031777.12894458,32.94801759619254,2833889.698258682,32.96745118442859,2938779.599745497,32.89705690854458,2582944.011654532,29.60837006485262,2791006.130840711,32.92377215922181,2712020.973786567,32.86922666716498,2452838.578840872,32.86926991169965,2320883.998855532,32.86832056813312,2195113.212031318,32.86389703978939,2076737.97377645,32.85696320231155,1965842.563322975,32.8482133375967,1862255.199663476,32.33389068643093,2495094.080101109
32.31341006985569,14388469.38479119,32.29016615894676,13875633.30758327,32.19246018252257,13833516.73675612,32.26666502036748,14301733.9927683,32.02091079142318,12403844.42452284,32.10796186009603,13162318.33419715,31.85180810432362,10869423.46878379,29.36831232106861,12173234.03820984,31.93495506945004,11626804.48817609,31.77222404375632,10151339.10766721,31.72122747033931,9479935.726358557,31.67266717758506,8861490.086354483,31.62407969074347,8294099.743869614,31.57606228874496,7774379.547330146,31.52899175001649,7298505.812538811,31.92664287269175,12326885.66279635
31.12199404495522,61377220.85471392,31.27595285768742,62230657.10451669,30.69656313788438,53977586.65202811,30.91347555414707,58166308.28297292,30.29181253809788,45380091.19497417,30.48747605404707,49591649.40852895,29.94442574804867,37985460.39125615,28.79899889167218,51252589.0089986,30.11092330698812,41496299.60124208,29.79127804977743,34842018.39943423,29.66703800237649,32066934.32402165,29.55192022348871,29595455.59297067,29.44341077517028,27388311.39616594,29.34120348124095,25412972.6262836,29.24492210583983,23640467.93652138,31.11446454904737,57097646.94518273
28.98561680442043,217019682.6535105,29.39581795285707,236666699.885463,28.19267500476714,172388647.3743552,28.57063901281732,194150240.6040547,27.56610245630138,136399196.3358811,27.85877527042606,153084268.6971817,27.08287360485402,109849650.2737388,27.76502255622583,202103038.866404,27.30929171373261,122098768.1104533,26.8820201342199,99325806.46171874,26.70667625964134,90314243.92982209,26.54769526491803,82486026.5503566,26.40243753322907,75640643.28852199,26.26919844763933,69622979.69266768,26.1465209725228,64305986.81036285,29.57563248861466,234119026.3259915
25.89001174164539,617487678.1069865,26.47074793537646,722233944.0227001,24.95936693377164,453317947.0733216,25.38209179556269,527128847.5960913,24.31246009718799,344818658.7223442,24.60795282558779,393529859.198117,23.84225317895879,271399861.5141691,25.98370583002213,709126519.7728332,24.06037705989133,304736661.9861659,23.65107523974219,243383524.1936105,23.47388592040744,219585718.516096,23.31326490797402,199188280.1448633,23.1674106419398,181568110.5379311,23.03414627169809,166237703.3904962,22.91172563539763,152812159.8727303,26.99759041169306,789666798.6657873
22.57007397222245,1459670438.339217,23.0772551471503,1777125528.790655,21.76579237364664,1030292559.49228,22.13444842164164,1217000288.634506,21.17560295470732,767349659.298175,21.44993833737797,884030383.5122745,20.72052563645288,594954687.8763689,23.36297369594435,2084090756.379696,20.9345093939366,672748200.9315884,20.52900780418738,530182868.2498965,20.34461107737805,475113034.614255,20.17547687621059,428263590.72022,20.02077905061757,388111983.6057767,19.878613534217,353429415.9200309,19.74741542572679,323257813.7200292,23.64798789823652,2102775714.436499
19.65729629220368,3055174001.556952,20.10306386788855,3783089438.529681,18.80850405856946,2093597166.182755,19.21365372081575,2508872256.478253,18.13328829833738,1519607498.013049,18.4491066635136,1772388720.519551,17.61163431402325,1153426029.900533,20.37622322227928,4994948216.239166,17.85596484946801,1317459266.955444,17.39527383333467,1018555595.888005,17.19144317204033,904562470.5952153,17.0063272718672,808610111.3213693,16.83845147761931,727240010.3327696,16.68545349203605,657636230.8520539,16.54538133079534,597630311.4553275,20.50473593536501,4623640424.52303
16.94485715915516,5765030631.027959,17.58426568769524,7335900427.91441,15.85173748255053,3755177167.417378,16.35401882455677,4608167361.489981,15.08334220249511,2626717658.119989,15.43288904759918,3115756677.394855,14.53944361253415,1942302737.085133,17.84707407194728,10205398961.81152,14.78931399873355,2245263964.400553,14.32484474033534,1697749681.056841,14.12667930654055,1493251626.848007,13.94947579037072,1323340553.110888,13.79097836558749,1180995124.93809,13.64825737618825,1060551724.068537,13.51897107543933,957728857.2868973,18.12050100044225,9166291023.083281
